WM	Current_Price	Store	Prod_Name	Prod_Alias	RegPrice	OnSalePrice
30505674  	1.97	ALP	Red Shallot	紅蔥頭	0.79	0.79
30505676  	4.97	ALP	Mike's Organic Onions		2.99	2.99
30746756  	1.27	ALP	Enoki Mushroom	金針菇                        	1.29	1.29
30746758  	2.57	ALP	Enoki Mushroom	新鮮金針菇	0.99	0.99
30746759  	2.97	ALP	Fresh King Oyster Mushroom	袋裝皇子菇	1.99	1.99
30746760  	2.97	ALP	Whimori King Oyster Mushroom		1.99	1.99
30746762  	2.97	ALP	Guan's Brown Beech Mushroom		1.29	1.29
30746763  	2.97	ALP	White Beech Guan's Mushrooms		1.29	1.29
30758419  	3.57	ALP	Red Beets	小紅菜頭	2.59	2.59
30758495  	2.97	ALP	Golden Beets With Leaves		1.99	1.99
30759044  	3.97	ALP	Green Kohlrabi	有葉菜 果	2.99	2.99
30758493  	2.97	ALP	Little Bear Collards	西人芥蘭	1.99	1.99
30755710  	2.27	ALP	J & D Red Kale		2.99	2.99
30757559  	2.97	ALP	Little Bear Red Kale		2.99	2.99
30758504  	3.57	ALP	Organic Collard		1.99	1.99
30515226  	3.97	ALP	Organic Turnip		3.99	3.99
30762878  	4.97	ALP	Organic Beauregard Yams		3.99	3.99
30507784  	1.97	ALP	Grape Tomatoes	車里子番茄	2.59	2.59
30058380  	2.97	ALP	China Honey Pomelo	蜜柚	2.59	2.59
30099251  	2.57	ALP	Scented Pear	盒裝新疆香梨	0.99	0.00
30746764  	2.97	ALP	Beech Mushroom		1.29	1.29
30746766  	4.97	ALP	Champlgnons Mushrooms	黃金針菇/皇子菇/貴子菇	1.99	1.99
30746741  	1.97	ALP	Fresh Lotus Seed	鮮蓮子	0.79	0.79
30762863  	2.77	ALP	White Nuts	白果仁	0.79	0.00
30746767  	2.97	ALP	White Beech Mushroom	白玉菇	1.29	1.29
30746768  	2.97	ALP	Brown Beech Mushroom	松栮菇/白玉菇	1.29	1.29
30746770  	2.97	ALP	Dried Black Fungus	白背木耳絲	0.99	0.99
30762868  	1.57	ALP	Kingo Nut	新鮮白果仁	0.99	0.79
30762870  	1.57	ALP	Gingko Nuts	集翠鮮白果	0.79	0.79
30746773  	1.97	ALP	White Mushroom	白雪菇	0.99	0.00
30746776  	2.57	ALP	Happy Farm Enoki Mushroom	韓國金針菇	0.99	0.99
30746779  	2.97	ALP	Happy Farm King Oyster Mushroom	皇子菇	1.99	1.99
30746780  	2.97	ALP	Happy Farm King Oyster Mushroom	皇子菇	1.99	1.99
30746787  	1.97	ALP	Brown Mushroom	咖啡菇	1.29	1.29
30746788  	1.97	ALP	Golden/Flower Enoki	黃針菇/花針菇	1.00	1.00
30746790  	3.97	ALP	Happy Farm Portabella Mushroom	靈芝菇	2.79	2.79
30746793  	2.97	ALP	Golden Mushrom Oyster Mushroom	包裝新鮮蠔菇	1.99	1.99
30760491  	3.97	ALP	EatSmart Broccoli	Fresh Cut	1.99	1.99
30769927  	3.97	ALP	Mann's Green Beans		0.79	0.79
30761716  	3.97	ALP	Romaine Hearts	牛利生菜	2.59	2.59
30081244  	4.97	ALP	Clemntines	袋裝甜橘	3.99	3.99
30092197  	7.97	ALP	Viva Tierra Organic Apples		3.99	3.99
30092380  	4.97	ALP	Fuji Apple (Bag)	袋裝富士蘋果	4.59	4.59
30092506  	11.97	ALP	Bridges Organic Braeburn Apples		11.99	11.99
30096703  	1.27	ALP	Yellow Peach(2.2LB)	盒裝本地黃肉水蜜桃	1.29	0.00
30092724  	4.97	ALP	Nickels Orchards Royal Gala	Product Of Ontario	3.99	3.99
30094933  	6.97	ALP	WESTLAKE Florida Citrus	5LB佛羅里達甜橙	5.99	5.99
30081249  	5.97	ALP	Sunkist Tangelos 5Lbs	新奇士橙柑(袋)	1.99	0.00
30081262  	3.97	ALP	Clementines	小柑仔	2.99	2.99
30094205  	2.97	ALP	Organic Grapefruit In Bag		2.99	2.99
30083968  	3.97	ALP	Champagne Grape 	香檳小提	2.99	0.00
30084045  	3.97	ALP	P.V.F. Concord Seedless Table Grapes		1.99	1.99
